"Country Name","Country Code","Year","average_value_Adolescent fertility rate (births per 1,000 women ages 15-19)","average_value_Children in employment, female (% of female children ages 7-14)","average_value_Children in employment, male (% of male children ages 7-14)","average_value_Children in employment, study and work (% of children in employment, ages 7-14)","average_value_Children in employment, study and work, female (% of female children in employment, ages 7-14)","average_value_Children in employment, study and work, male (% of male children in employment, ages 7-14)","average_value_Children in employment, total (% of children ages 7-14)","average_value_Children in employment, work only (% of children in employment, ages 7-14)","average_value_Children in employment, work only, female (% of female children in employment, ages 7-14)","average_value_Children in employment, work only, male (% of male children in employment, ages 7-14)","average_value_Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","average_value_Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)","average_value_Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate)","average_value_Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)","average_value_Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)","average_value_Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)","average_value_Labor force participation rate, male (% of male population ages 15-64) (modeled ILO estimate)","average_value_Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","average_value_Life expectancy at birth, female (years)","average_value_Life expectancy at birth, male (years)","average_value_Literacy rate, youth (ages 15-24), gender parity index (GPI)","average_value_Prevalence of HIV, female (% ages 15-24)","average_value_Prevalence of HIV, male (% ages 15-24)","average_value_Proportion of seats held by women in national parliaments (%)","average_value_Refugee population by country or territory of asylum","average_value_Refugee population by country or territory of origin","average_value_School enrollment, primary (gross), gender parity index (GPI)","average_value_School enrollment, primary and secondary (gross), gender parity index (GPI)","average_value_School enrollment, secondary (gross), gender parity index (GPI)","average_value_School enrollment, tertiary (gross), gender parity index (GPI)","average_value_Unemployment, female (% of female labor force) (modeled ILO estimate)","average_value_Unemployment, male (% of male labor force) (modeled ILO estimate)","average_value_Vulnerable employment, female (% of female employment) (modeled ILO estimate)","average_value_Vulnerable employment, male (% of male employment) (modeled ILO estimate)"
"Low income","LIC","1992","130.25878761061","","","","","","","","","","53.1274970890754","63.1296568300894","58.1357905136627","60.6909964658589","62.0942486194157","81.3840205307801","82.1941075542897","71.9649370256781","52.5658259736636","49.2260277623623","0.746710002422333","2.08500207573271","0.662375297567617","","4178523","9570612","0.76652","0.746","0.68948","0.498490005731583","3.80030367663096","4.92153454498031","89.6140532682921","79.9451370808543"
"Liechtenstein","LIE","2014","","","","","","","","","","","","","","","","","","","83.2","81","","","","20","102","","0.992200016975403","0.871039986610413","0.807780027389526","0.475100010633469","","","",""
"Lower middle income","LMC","2012","51.0129554836323","","","","","","","","","","25.6552475179372","52.5397662771122","39.5101894649418","35.741049292291","37.5269864166144","78.2400646048377","80.73328281112","59.5219310156166","68.8355305620048","65.5497524440195","0.924860000610352","","","17.8107955614068","6211914","1606817","0.99849","0.97951","0.95239","0.919489979743958","5.31846003472373","5.02719593436486","71.2854079763198","63.2069686199097"
"Low & middle income","LMY","2010","51.7434186732703","","","","","","","","","","36.3826185232621","55.8223649742429","46.3631111726829","47.9935043648911","51.3813192436894","77.8052130971472","81.3423577869817","66.5314818205812","70.8066262479713","66.7087131025008","0.944360017776489","","","17.8949262324577","13075382","10144991","0.9723","0.96711","0.96086","1.01221001148224","5.56458589431869","5.29349371910574","58.2334967422416","55.2342827306779"
"Late-demographic dividend","LTE","1973","37.2991584892574","","","","","","","","","","","","","","","","","","65.4073376777888","60.7522601375954","","","","","","","0.79693","","","1.04584002494812","","","",""
"Late-demographic dividend","LTE","2013","22.2189845457613","","","","","","","","","","45.6094847270832","54.6511688176712","50.3073986804851","59.8383100025376","66.406887849621","76.9501128959461","82.4450783595157","74.540906825279","77.7934017661351","72.2861095000437","1.00004005432129","","","18.9151470040938","1986998","1225141","0.99214","1.00726","1.0231","1.16497004032135","4.80629852780435","5.15335982299504","43.1880172212015","40.7341480682613"
"Luxembourg","LUX","1993","12.0494","","","","","","","","","","45.1","49.49","47.34","36.95","46","68.2","78.01","62.24","79.4","72.2","","","","","225","","","","1.05024003982544","","3.13","1.87","7.5200002193451","7.67999990284443"
"Latvia","LVA","1983","41.4178","","","","","","","","","","","","","","","","","","74.62","63.88","","","","","","","","","","1.27602994441986","","","",""
"Macao SAR, China","MAC","1990","6.696","","","","","","","","","","46.33","49.92","47.94","44.13","48.63","71.43","75.22","61.8","79.528","74.909","","","","","205","","0.96382999420166","0.979770004749298","1.06125998497009","0.440420001745224","","","",""
"Moldova","MDA","1961","32.2214","","","","","","","","","","","","","","","","","","66.096","58.444","","","","","","","","","","","","","",""
"Mexico","MEX","1973","111.7502","","","","","","","","","","","","","","","","","","65.512","60.291","","","","","4000","","","","","","","","",""
"Malta","MLT","1993","13.2716","","","","","","","","","","61.1","64.86","63.03","28.08","33.23","72.83","82.71","57.81","79.946","75.353","","","","","505","","0.979749977588654","0.953819990158081","0.926259994506836","0.976989984512329","6.05","5.74","4.32000005245208","10.420000270009"
"Middle East & North Africa (excluding high income)","MNA","1980","106.613719749495","","","","","","","","","","","","","","","","","","60.4783912676814","55.4938668782927","0.668389976024628","","","","","","0.72742","0.68778","0.60939","0.514209985733032","","","",""
"Malaysia","MYS","2015","13.308","","","","","","","","","","33.73","48.8","41.47","50.47","54.03","77.65","80.68","67.81","77.663","73.521","","0.1","0.1","10.3603603603604","94161","435","1.00578999519348","1.04466998577118","1.08940005302429","1.22890996932983","3.39","2.92","25.3599996566772","20.0499992370606"
"New Caledonia","NCL","2019","14.0804","","","","","","","","","","43","49.69","46.42","57.76","65.74","68.62","76.59","71.21","80.4","75","","","","","","","","","","","16.71","14.39","10.9199995398521","15.9899999648332"
"Niger","NER","1986","225.651","","","","","","","","","","","","","","","","","","42.293","41.001","","","","","","","0.585259974002838","","","","","","",""
"Nicaragua","NIC","1992","147.363","","","","","","","","","","30.89","70.68","50.75","35.73","36.88","85.49","86.33","61.04","68.553","62.848","","0.1","0.1","","14450","44275","1.05506002902985","","","0.983940005302429","7.51","7.37","47.4599993228912","40.6400017738342"
"Norway","NOR","1990","16.5796","","","","","","","","","","55.69","62.16","59","55.1","69.93","70.22","82.48","76.32","79.8","73.43","","","","","19581","","1.00116002559662","1.02295005321503","1.04133999347687","1.17707002162933","","","",""
"Norway","NOR","2006","9.1258","","","","","","","","","","58.21","57.27","57.73","61.03","74.8","70.47","81.26","78.09","82.7","78.1","","","","37.8698224852071","43315","","1.00662994384766","1.00147998332977","0.996159970760345","1.3498899936676","3.34","3.45","3.71999996900558","8.8200002014637"
"New Zealand","NZL","1964","61.6676","","","","","","","","","","","","","","","","","","74.3","68.5","","","","","","","","","","","","","",""
"OECD members","OED","2020","","","","","","","","","","","","","","","","","","","","","","","","31.4990138067061","7134120","310255","","","","","","","",""
"Oman","OMN","1993","67.0162","","","","","","","","","","22.51","49.52","37.66","21.38","22.59","81.21","82.66","61.19","70.958","67.033","","","","","","","0.954230010509491","0.939760029315948","0.911440014839172","1.17295002937317","6.97","2.54","7.35000002384186","11.850000411272"
"Oman","OMN","2016","13.4434","","","","","","","","","","14.81","59.76","41.8","30.82","32.27","88.43","89.93","72.84","79.659","75.391","1.00469994544983","","","1.17647058823529","316","35","1.02595996856689","0.985549986362457","0.937319993972778","1.46045005321503","13.3","1.75","3.79999995231628","2.30999989807606"
"Other small states","OSS","1968","98.5229024902297","","","","","","","","","","","","","","","","","","57.0391275138949","52.1526472822736","","","","","","","","","","","","","",""
"Papua New Guinea","PNG","1960","93.8466","","","","","","","","","","","","","","","","","","39.515","38.449","","","","","","","","","","","","","",""
"Korea, Dem. People's Rep.","PRK","1976","4.6106","","","","","","","","","","","","","","","","","","67.046","60.682","","","","","","","","","","","","","",""
"Portugal","PRT","1970","31.0888","","","","","","","","","","","","","","","","","","70.3","64","","","","","","","","","","","","","",""
"Post-demographic dividend","PST","2019","11.4711174717264","","","","","","","","","","46.235828664129","48.4686486578558","47.377502318131","54.1276933458856","68.714923239217","67.3705347550388","79.8851387694286","74.3187914056561","83.4938020709664","78.2416368347309","","0.1","0.104923492643086","31.9724967769661","3368753","117688","0.99956","0.9976","0.99594","1.18873000144958","5.00640617168566","4.91973067120096","7.31163299156386","9.91548850797227"
"French Polynesia","PYF","1983","74.9118","","","","","","","","","","","","","","","","","","69.171","64.098","","","","","","","","","","","","","",""
"Qatar","QAT","2018","9.5896","","","","","","","","","","36.21","72.86","63.95","56.92","58.11","94.46","95.07","87.5","81.876","78.981","","0.1","0.1","9.75609756097561","189","30","1.01025998592377","","","1.87216997146606","0.48","0.05","0.0699999984353781","0.150000000372529"
"Romania","ROU","2008","40.6178","","","","","","","","","","24.5","35.6","30.2","46.12","54.91","62.29","70.37","62.62","76.1","69.2","","0.1","0.1","11.377245508982","1586","4747","0.983399987220764","0.992399990558624","0.996410012245178","1.26363003253937","4.67","6.68","31.6800003051758","30.9000000953674"
"South Asia","SAS","1998","78.3688488243695","","","","","","","","","","24.2500599507229","65.9157594235682","45.8864449383869","29.5787218376794","30.9325584578324","83.671745509818","85.9169027030888","59.385239170656","62.7873312744773","61.2180333691654","0.751959979534149","","","6.05355064027939","1536382","2909056","0.83327","0.78687","0.7166","0.606130003929138","5.14068030665258","5.07407754041485","88.157965687354","77.245778568777"
"El Salvador","SLV","1967","139.141","","","","","","","","","","","","","","","","","","56.443","51.272","","","","","","","","","","","","","",""
"El Salvador","SLV","1983","117.2536","","","","","","","","","","","","","","","","","","63.532","52.226","","","","","","244600","0.980289995670319","0.976199984550476","0.98852002620697","0.716480016708374","","","",""
"El Salvador","SLV","2020","","","","","","","","","","","","","","","","","","","","","","0.1","0.1","33.3333333333333","63","45640","","","","","","","",""
"Serbia","SRB","1994","33.3686","","","","","","","","","","39.41","53.8","46.73","50.31","57.87","69.54","75.76","66.81","","","","0.1","0.1","","450694","54975","","","","","16.08","11.37","36.0300006866455","34.3100004196167"
"South Sudan","SSD","2011","82.1264","","","","","","","","","","65.36","61.87","63.6","70.63","72.78","75.81","76.68","74.72","56.645","54.032","","1.1","0.6","26.5060240963855","105023","","0.662090003490448","0.647140026092529","0.511799991130829","","13.68","11.52","96.4400024414062","84.7699985504151"
"Slovak Republic","SVK","1974","43.82","","","","","","","","","","","","","","","","","","73.729","66.792","","","","","","","","","","","","","",""
"Seychelles","SYC","1993","66.0594","","","","","","","","","","","","","","","","","","75","64.2","","","","","","27","0.985830008983612","1.0064400434494","1.02909004688263","","","","",""
"Europe & Central Asia (IDA & IBRD countries)","TEC","2009","29.2458294441665","","","","","","","","","","33.2521518246801","46.3019584613903","39.8860049006853","48.3613103661685","57.2450547655487","67.6389149171513","74.5911054739863","65.6986265157398","75.6551088498485","66.5541147356629","0.995989978313446","","","15.8193372673627","179500","733516","0.99171","0.98173","0.97595","1.18101000785828","8.39829793847488","9.3929567559146","20.4583334417842","20.7648388841079"
"Togo","TGO","1962","149.133","","","","","","","","","","","","","","","","","","42.58","40.579","","","","","5000","","","","","","","","",""
"Thailand","THA","1977","59.993","","","","","","","","","","","","","","","","","","65.893","60.235","","","","","97600","","0.929759979248047","0.90693998336792","0.814939975738525","0.798650026321411","","","",""
"Thailand","THA","2003","42.0144","","","","","","","","","","44.63","57.46","51.12","64.33","69.82","80.77","85.02","77.29","75.044","67.891","","1","0.5","9.2","119056","295","","","","1.13397002220154","1.44","1.62","58.2200012207032","54.3100004196167"
"Turkmenistan","TKM","1964","39.0634","","","","","","","","","","","","","","","","","","59.788","52.632","","","","","","","","","","","","","",""
"Turkmenistan","TKM","1970","31.6228","","","","","","","","","","","","","","","","","","62.025","54.871","","","","","","","","","","","","","",""
"Sub-Saharan Africa (IDA & IBRD countries)","TSS","1990","139.454881488549","","","","","","","","","","50.8989954196489","57.8755050285723","54.3910801337205","62.3995147489053","63.5755500792837","78.1444688203377","78.8279086878082","71.1131547964193","51.9528056153714","48.5484692448652","0.800849974155426","2.21502170377131","0.838091238972092","","5641621","5746950","0.83057","0.81487","0.76038","0.520240008831024","","","",""
"Trinidad and Tobago","TTO","1997","44.299","","","","","","","","","","41.71","61.38","51.65","46.93","51.39","75.88","80.92","66.18","70.889","66.855","","0.2","0.1","11.1111111111111","","20","0.994449973106384","","","","4.28","2.94","18.4400000572205","18.9699991941452"
"Tuvalu","TUV","2008","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","",""
"Tanzania","TZA","2010","127.276","","","","","","","","","","75.63","78.14","76.89","84.16","85.59","89.2","89.85","87.71","60.369","56.776","0.951370000839233","2.8","1.4","","109286","1135","1.01841998100281","0.978929996490479","0.819559991359711","0.82463002204895","3.5","2.48","92.4899978637696","81"
"Virgin Islands (U.S.)","VIR","1969","170.1904","","","","","","","","","","","","","","","","","","70.314","67.257","","","","","","","","","","","","","",""
"Virgin Islands (U.S.)","VIR","1973","154.0646","","","","","","","","","","","","","","","","","","71.507","68.439","","","","","","","","","","","","","",""
"Virgin Islands (U.S.)","VIR","2001","52.4602","","","","","","","","","","34.66","48.56","41.37","59.93","66.08","70.72","76.73","71.14","80.9","74.5","","","","","","","","","","","7.34","6.35","2.05000001192093","1.89000004529953"
"Zimbabwe","ZWE","1971","174.048","","","","","","","","","","","","","","","","","","58.856","55.454","","","","","","","0.830429971218109","0.815379977226257","0.661090016365051","","","","",""
"Aruba","ABW","2002","41.119","","","","","","","","","","","","","","","","","","76.375","71.469","","","","","","","0.947759985923767","0.989000022411346","1.05376994609833","1.33247995376587","","","",""
"United Arab Emirates","ARE","2020","","","","","","","","","","","","","","","","","","","","","","0.1","0.1","50","1330","191","","","","","","","",""
"Armenia","ARM","2017","21.49","","","","","","","","","","32.7","39.35","36.13","46.89","55.25","65.68","74.25","64.07","78.165","71.115","1.00053000450134","0.1","0.1","18.0952380952381","17968","10786","1.00320994853973","","","1.21487998962402","17.47","17.91","38.5899991989136","39.5800002813339"
"Burundi","BDI","1962","91.65","","","","","","","","","","","","","","","","","","43.482","40.316","","","","","30000","","","","","","","","",""
"Belgium","BEL","1985","13.2938","","","","","","","","","","","","","","","","","","78.08","71.13","","","","","36600","","1.01078999042511","1.01885998249054","1.02613997459412","0.866800010204315","","","",""
"Bulgaria","BGR","1974","73.7408","","","","","","","","","","","","","","","","","","73.6","68.93","","","","","","300","0.992030024528503","0.996129989624023","0.998719990253448","1.21700000762939","","","",""
"Barbados","BRB","1993","56.7314","","","","","","","","","","59.81","67.91","63.88","62.01","72.95","76.43","85.04","78.83","77.326","73.111","","","","","","","","","","","27.72","21.67","9.68000003695488","16.1700003147126"
"Brunei Darussalam","BRN","1960","90.184","","","","","","","","","","","","","","","","","","55.992","53.772","","","","","","","","","","","","","",""
"Bhutan","BTN","1994","96.2372","","","","","","","","","","46.59","58.09","52.39","60.23","61.54","80.29","81.45","71.84","56.107","55.643","","0.1","0.1","","","103270","0.775089979171753","","","","1.34","1.45","78.3199996948242","75.5499992370606"
